Number,Puzzle name,Puzzle file,,Verified
1,The Path to Success,1-PathToSuccess,,no
2,The Bent Road,2-BentRoad,,no
3,Kinder Garden,3-KinderGarden,,no
4,Speed Racer,4-SpeedRacer,,no
5,Sensitivity Training,5-SensitivityTraining,,no
6,Dealing with Rejection,6-DealingRejection,,no
7,A Stitch in Time,7-StitchTime,,no
8,Power to the People,8-PowerPeople,,no
9,Lemon-aid,9-LemonAid,,no
10,There and Back Again,10-ThereAndBackAgain,,no
11,Tower of Babel,11-TowerBabel,,no
12,One Small Step,12-OneSmallStep,,no
13,One Giant Leap,13-OneGiantLeap,,no
14,Ding Dong Ditch,14-DingDong,,no
15,Minimum Security,15-MinSecurity,,no
16,Double Trouble,16-DoubleTrouble,,no
17,Beam Me Up,17-BeamUp,,no
18,Six String Samurai,18-SixStringSamurai,,no
19,Reindeer Games,19-ReindeerGames,,no
20,The Green-Eyed Monster,20-GreenMonster,,no
21,Stations of Life,21-StationsOfLife,,no
22,A Penny Saved,22-PennySaved,,no
23,Red Tide,23-RedTide,,no
24,Moment of Glory,24-MomentOfGlory,,no
25,Cram Time,25-CramTime,,no
26,It's a Trap!,26-Trap,,no
27,Trapasaurus,27-Trapasarus,,no
28,Bonanza,28-Bonanza,,no
29,Hold Your Horses,29-HoldYourHorses,,no
30,Open Sesame,30-OpenSesame,,no
31,A Silver Lining,31-SilverLining,,no
32,We Require More,32-WeRequireMore,,no
33,Cornered,33-Cornered,,no
34,Doom House,34-DoomHouse,,no
35,Different Strokes,35-DifferentStrokes,,no
36,Labyrinth,36-Labyrinth,,no
37,In Soviet Russia,37-InSovietRussia,,no
38,Infinite Possibilities,38-InfinitePossibilites,,no
39,New Horizons,39-NewHorizons,,no
40,Punch the Keys,40-PunchTheKeys,,no
41,One With Nothing,41-OneWithNothing,,no
42,To Each His Own,42-ToEachHisOwn,,no
43,Creative License,43-CreativeLicense,,no
44,One for All,44-OneForAll,,no
45,Wishing Well,45-WishingWell,,no
46,Infinite Regress,46-InfiniteRegress,,no
47,Trick or Treat,47-TrickOrTreat,,no
48,Smörgåsbord,48-Smorgasbord,,no
49,Déjà Vu,49-DejaVu,,no
50,Batter Up,50-BatterUp,,no
51,Jacob's Ladder,51-JacobsLadder,,no
52,Thinking Inside the Box,52-ThinkingBox,,no
53,Ye Who Enter Here,53-YeWhoEnterHere,,no
54,Ramming Speed,54-RammingSpeed,,no
55,Compressor,55-Compressor,,no
56,Web We Weave,56-WebWeWeave,,no
57,Mob Rule,57-MobRule,,no
58,The Butterfly Effect,58-TheButterflyEffect,,no
59,Misfit Mayhem,59-MisfitMayhem,,no
60,Fun For the Whole Family,60-FunFamily,,no
61,Size Isn't Everything,61-SizeEverything,,no
62,Brave New World,62-BraveNewWorld,,no
63,Turn the Other Cheek,63-TurnTheOtherCheek,,no
64,Double Cross,64-DoubleCross,,no
65,Rocket Science,65-RocketScience,,no
66,Overengineering,66-Overengineering,,no
67,Do-Se-Do,67-DoSeDo,,no
68,Deus Ex Machina,68-DeusExMachina,,no
69,The Three Stooges,69-ThreeStooges,,no
70,Pride Parade,70-PrideParade,,no
71,Power Overwhelming,71-PowerOverwhelming,,no
72,Quantity Control,72-QuantityControl,,no
73,Jigsaw,73-Jigsaw,,no
74,Turing Complete,74-TuringComplete,,no
75,Doppleganger,75-Doppleganger,,no
76,Chargin' Up,76-ChargingUp,,no
77,Line Dancing,77-LineDancing,,no
78,Chips Ahoy,78-ChipsAhoy,,no
79,Final Destination,79-FinalDestination,,no
